,Dep. Variable:,blizzard_ent_daily_abnormal_return,R-squared:,0.109
0,Model:,OLS,Adj. R-squared:,0.085
1,Method:,Least Squares,F-statistic:,4.523
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.0402
3,Time:,08:40:58,Log-Likelihood:,109.83
4,No. Observations:,39,AIC:,-215.7
5,Df Residuals:,37,BIC:,-212.3
6,Df Model:,1,,
7,Covariance Type:,nonrobust,,
