,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,-0.0485,0.057,-0.847,0.425,-0.184,0.087
1,np.log(roberta_pos),-0.0489,0.059,-0.824,0.437,-0.189,0.091
