,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0029,0.119,0.024,0.981,-0.278,0.283
1,np.sqrt(roberta_neg),-0.0085,0.22,-0.039,0.97,-0.528,0.511
