,Dep. Variable:,apple_daily_return,R-squared:,0.432
0,Model:,OLS,Adj. R-squared:,0.384
1,Method:,Least Squares,F-statistic:,8.884
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.000163
3,Time:,08:40:55,Log-Likelihood:,140.11
4,No. Observations:,39,AIC:,-272.2
5,Df Residuals:,35,BIC:,-265.6
6,Df Model:,3,,
7,Covariance Type:,nonrobust,,
