,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0112,0.02,0.569,0.575,-0.03,0.052
1,np.sqrt(daily_roberta_pos),-0.056,0.029,-1.917,0.069,-0.117,0.005
2,np.sqrt(daily_roberta_pos_lag_1),0.0305,0.031,0.994,0.332,-0.033,0.094
3,np.sqrt(sp500_daily_returns),0.1697,0.071,2.406,0.025,0.023,0.316
