,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,-0.0058,0.075,-0.077,0.941,-0.19,0.179
1,roberta_pos,0.0615,0.276,0.223,0.831,-0.614,0.737
2,sp500_weekly_returns_alternate,0.7557,1.078,0.701,0.509,-1.881,3.392
