,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0165,0.013,1.259,0.216,-0.01,0.043
1,np.sinh(daily_roberta_pos),-0.0476,0.045,-1.058,0.297,-0.139,0.044
2,np.sinh(sp500_daily_returns),0.6868,0.572,1.201,0.238,-0.473,1.847
