,Dep. Variable:,blizzard_ent_daily_return,R-squared:,0.114
0,Model:,OLS,Adj. R-squared:,0.033
1,Method:,Least Squares,F-statistic:,1.412
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.265
3,Time:,08:40:58,Log-Likelihood:,61.873
4,No. Observations:,25,AIC:,-117.7
5,Df Residuals:,22,BIC:,-114.1
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
