,Dep. Variable:,apple_daily_return,R-squared:,0.184
0,Model:,OLS,Adj. R-squared:,0.067
1,Method:,Least Squares,F-statistic:,1.575
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.225
3,Time:,08:40:56,Log-Likelihood:,86.575
4,No. Observations:,25,AIC:,-165.2
5,Df Residuals:,21,BIC:,-160.3
6,Df Model:,3,,
7,Covariance Type:,nonrobust,,
