,Dep. Variable:,average_volatility,R-squared:,0.004
0,Model:,OLS,Adj. R-squared:,-0.395
1,Method:,Least Squares,F-statistic:,0.008903
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.991
3,Time:,08:40:59,Log-Likelihood:,25.601
4,No. Observations:,8,AIC:,-45.2
5,Df Residuals:,5,BIC:,-44.96
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
