,Dep. Variable:,average_volatility,R-squared:,0.000
0,Model:,OLS,Adj. R-squared:,-0.143
1,Method:,Least Squares,F-statistic:,0.001782
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.968
3,Time:,08:40:59,Log-Likelihood:,28.77
4,No. Observations:,9,AIC:,-53.54
5,Df Residuals:,7,BIC:,-53.14
6,Df Model:,1,,
7,Covariance Type:,nonrobust,,
