,Dep. Variable:,apple_daily_return,R-squared:,0.181
0,Model:,OLS,Adj. R-squared:,0.064
1,Method:,Least Squares,F-statistic:,1.545
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.232
3,Time:,08:40:56,Log-Likelihood:,86.531
4,No. Observations:,25,AIC:,-165.1
5,Df Residuals:,21,BIC:,-160.2
6,Df Model:,3,,
7,Covariance Type:,nonrobust,,
