,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0188,0.073,0.256,0.81,-0.185,0.222
1,np.sinh(roberta_pos),-0.1434,0.136,-1.054,0.351,-0.521,0.234
2,np.sinh(roberta_pos_lag_1),0.1039,0.127,0.821,0.458,-0.248,0.455
3,np.sinh(sp500_weekly_returns_alternate),0.8356,0.631,1.324,0.256,-0.917,2.588
