,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,-0.0204,0.022,-0.922,0.367,-0.066,0.026
1,np.sqrt(daily_roberta_neg),0.0319,0.037,0.865,0.397,-0.045,0.109
2,np.sqrt(sp500_daily_returns),0.1497,0.074,2.02,0.056,-0.004,0.303
