,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0023,0.002,0.965,0.341,-0.003,0.007
1,np.sinh(daily_sensitivity),-0.0474,0.019,-2.502,0.017,-0.086,-0.009
2,np.sinh(daily_sensitivity_lag_1),-0.0313,0.019,-1.681,0.102,-0.069,0.007
