,Dep. Variable:,average_volatility,R-squared:,0.192
0,Model:,OLS,Adj. R-squared:,-0.131
1,Method:,Least Squares,F-statistic:,0.5946
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.587
3,Time:,08:40:57,Log-Likelihood:,40.583
4,No. Observations:,8,AIC:,-75.17
5,Df Residuals:,5,BIC:,-74.93
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
