,Dep. Variable:,apple_daily_return,R-squared:,0.364
0,Model:,OLS,Adj. R-squared:,0.329
1,Method:,Least Squares,F-statistic:,10.58
2,Date:,"Wed, 02 Aug 2023",Prob (F-statistic):,0.000233
3,Time:,08:25:08,Log-Likelihood:,141.53
4,No. Observations:,40,AIC:,-277.1
5,Df Residuals:,37,BIC:,-272.0
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
