,Dep. Variable:,average_volatility,R-squared:,0.034
0,Model:,OLS,Adj. R-squared:,-0.104
1,Method:,Least Squares,F-statistic:,0.2451
2,Date:,"Wed, 02 Aug 2023",Prob (F-statistic):,0.636
3,Time:,08:25:09,Log-Likelihood:,44.05
4,No. Observations:,9,AIC:,-84.1
5,Df Residuals:,7,BIC:,-83.7
6,Df Model:,1,,
7,Covariance Type:,nonrobust,,
