,Dep. Variable:,weekly_abnormal_return,R-squared:,0.124
0,Model:,OLS,Adj. R-squared:,-0.226
1,Method:,Least Squares,F-statistic:,0.3547
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.718
3,Time:,08:40:58,Log-Likelihood:,19.96
4,No. Observations:,8,AIC:,-33.92
5,Df Residuals:,5,BIC:,-33.68
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
