,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0912,0.117,0.777,0.463,-0.186,0.369
1,np.sqrt(roberta_pos),-0.1497,0.189,-0.793,0.454,-0.596,0.297
