,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.039,0.02,1.936,0.066,-0.003,0.081
1,np.log(daily_roberta_neg),0.0084,0.01,0.849,0.405,-0.012,0.029
2,np.log(sp500_daily_returns),0.0039,0.002,1.788,0.088,-0.001,0.009
