,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,-0.0104,0.026,-0.405,0.689,-0.064,0.043
1,np.sqrt(daily_roberta_neg),0.0456,0.041,1.116,0.277,-0.039,0.131
2,np.sqrt(daily_roberta_neg_lag_1),-0.0325,0.04,-0.812,0.426,-0.116,0.051
3,np.sqrt(sp500_daily_returns),0.1508,0.075,2.019,0.056,-0.005,0.306
