,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0058,0.006,0.997,0.325,-0.006,0.018
1,np.sinh(daily_roberta_pos),-0.0156,0.014,-1.082,0.286,-0.045,0.014
