,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0006,0.004,0.144,0.886,-0.007,0.008
1,np.sinh(daily_roberta_sum),-0.0252,0.023,-1.072,0.291,-0.073,0.022
2,np.sinh(sp500_daily_returns),0.6953,0.573,1.214,0.233,-0.466,1.857
