,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,-0.0005,0.003,-0.146,0.885,-0.007,0.006
1,np.sinh(daily_roberta_sum),-0.0499,0.022,-2.264,0.03,-0.095,-0.005
2,np.sinh(daily_roberta_sum_lag_1),0.0259,0.022,1.172,0.249,-0.019,0.071
