,Dep. Variable:,apple_daily_return,R-squared:,0.429
0,Model:,OLS,Adj. R-squared:,0.38
1,Method:,Least Squares,F-statistic:,8.775
2,Date:,"Wed, 02 Aug 2023",Prob (F-statistic):,0.000179
3,Time:,08:25:08,Log-Likelihood:,140.01
4,No. Observations:,39,AIC:,-272.0
5,Df Residuals:,35,BIC:,-265.4
6,Df Model:,3,,
7,Covariance Type:,nonrobust,,
