,Dep. Variable:,apple_daily_abnormal_return,R-squared:,0.024
0,Model:,OLS,Adj. R-squared:,-0.001
1,Method:,Least Squares,F-statistic:,0.952
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.335
3,Time:,08:40:55,Log-Likelihood:,141.37
4,No. Observations:,40,AIC:,-278.7
5,Df Residuals:,38,BIC:,-275.4
6,Df Model:,1,,
7,Covariance Type:,nonrobust,,
