,Dep. Variable:,blizzard_ent_daily_abnormal_return,R-squared:,0.083
0,Model:,OLS,Adj. R-squared:,0.059
1,Method:,Least Squares,F-statistic:,3.365
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.0746
3,Time:,08:40:58,Log-Likelihood:,109.28
4,No. Observations:,39,AIC:,-214.6
5,Df Residuals:,37,BIC:,-211.2
6,Df Model:,1,,
7,Covariance Type:,nonrobust,,
