,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,-0.06,0.079,-0.76,0.481,-0.263,0.143
1,np.sinh(roberta_pos),0.0096,0.177,0.055,0.959,-0.445,0.464
2,np.sinh(roberta_pos_lag_1),0.2393,0.181,1.322,0.243,-0.226,0.705
