,Dep. Variable:,average_volatility,R-squared:,0.371
0,Model:,OLS,Adj. R-squared:,0.119
1,Method:,Least Squares,F-statistic:,1.473
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.314
3,Time:,08:40:59,Log-Likelihood:,27.439
4,No. Observations:,8,AIC:,-48.88
5,Df Residuals:,5,BIC:,-48.64
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
