,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,-0.0006,0.001,-0.479,0.635,-0.003,0.002
1,daily_sensitivity,-0.0111,0.01,-1.072,0.291,-0.032,0.01
2,daily_sensitivity_lag_1,-0.0109,0.01,-1.05,0.301,-0.032,0.01
