,Dep. Variable:,weekly_return,R-squared:,0.342
0,Model:,OLS,Adj. R-squared:,-0.151
1,Method:,Least Squares,F-statistic:,0.6932
2,Date:,"Wed, 02 Aug 2023",Prob (F-statistic):,0.602
3,Time:,08:25:09,Log-Likelihood:,24.109
4,No. Observations:,8,AIC:,-40.22
5,Df Residuals:,4,BIC:,-39.9
6,Df Model:,3,,
7,Covariance Type:,nonrobust,,
