,Dep. Variable:,blizzard_ent_daily_abnormal_return,R-squared:,0.099
0,Model:,OLS,Adj. R-squared:,0.048
1,Method:,Least Squares,F-statistic:,1.932
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.16
3,Time:,08:40:58,Log-Likelihood:,106.32
4,No. Observations:,38,AIC:,-206.6
5,Df Residuals:,35,BIC:,-201.7
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
