,Dep. Variable:,apple_daily_return,R-squared:,0.158
0,Model:,OLS,Adj. R-squared:,0.082
1,Method:,Least Squares,F-statistic:,2.065
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.151
3,Time:,08:40:56,Log-Likelihood:,86.189
4,No. Observations:,25,AIC:,-166.4
5,Df Residuals:,22,BIC:,-162.7
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
