,Dep. Variable:,weekly_return,R-squared:,0.297
0,Model:,OLS,Adj. R-squared:,0.062
1,Method:,Least Squares,F-statistic:,1.267
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.348
3,Time:,08:40:56,Log-Likelihood:,26.473
4,No. Observations:,9,AIC:,-46.95
5,Df Residuals:,6,BIC:,-46.36
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
