,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0023,0.002,0.973,0.337,-0.003,0.007
1,daily_sensitivity,-0.0482,0.019,-2.508,0.017,-0.087,-0.009
2,daily_sensitivity_lag_1,-0.0313,0.019,-1.661,0.106,-0.07,0.007
