,Dep. Variable:,average_volatility,R-squared:,0.000
0,Model:,OLS,Adj. R-squared:,-0.142
1,Method:,Least Squares,F-statistic:,0.003415
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.955
3,Time:,08:40:59,Log-Likelihood:,28.771
4,No. Observations:,9,AIC:,-53.54
5,Df Residuals:,7,BIC:,-53.15
6,Df Model:,1,,
7,Covariance Type:,nonrobust,,
