,Dep. Variable:,average_volatility,R-squared:,0.002
0,Model:,OLS,Adj. R-squared:,-0.14
1,Method:,Least Squares,F-statistic:,0.01618
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.902
3,Time:,08:40:58,Log-Likelihood:,28.779
4,No. Observations:,9,AIC:,-53.56
5,Df Residuals:,7,BIC:,-53.16
6,Df Model:,1,,
7,Covariance Type:,nonrobust,,
