,Dep. Variable:,apple_daily_return,R-squared:,0.197
0,Model:,OLS,Adj. R-squared:,0.124
1,Method:,Least Squares,F-statistic:,2.692
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.09
3,Time:,08:40:56,Log-Likelihood:,86.774
4,No. Observations:,25,AIC:,-167.5
5,Df Residuals:,22,BIC:,-163.9
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
