,Dep. Variable:,weekly_return,R-squared:,0.669
0,Model:,OLS,Adj. R-squared:,0.448
1,Method:,Least Squares,F-statistic:,3.032
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.19
3,Time:,08:40:57,Log-Likelihood:,18.851
4,No. Observations:,6,AIC:,-31.7
5,Df Residuals:,3,BIC:,-32.33
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
