,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0145,0.016,0.887,0.381,-0.019,0.048
1,np.log(daily_roberta_neg),0.0385,0.016,2.452,0.019,0.007,0.07
2,np.log(daily_roberta_neg_lag_1),-0.0258,0.016,-1.635,0.111,-0.058,0.006
