,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,-0.0017,0.019,-0.092,0.927,-0.04,0.037
1,np.sinh(daily_roberta_neg),0.0836,0.05,1.655,0.107,-0.019,0.186
2,np.sinh(daily_roberta_neg_lag_1),-0.0721,0.05,-1.444,0.158,-0.174,0.029
3,np.sinh(sp500_daily_returns),0.8149,0.584,1.394,0.172,-0.373,2.003
