,Dep. Variable:,weekly_return,R-squared:,0.110
0,Model:,OLS,Adj. R-squared:,-0.186
1,Method:,Least Squares,F-statistic:,0.3724
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.704
3,Time:,08:40:58,Log-Likelihood:,19.375
4,No. Observations:,9,AIC:,-32.75
5,Df Residuals:,6,BIC:,-32.16
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
