,Dep. Variable:,blizzard_ent_daily_abnormal_return,R-squared:,0.087
0,Model:,OLS,Adj. R-squared:,0.062
1,Method:,Least Squares,F-statistic:,3.532
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.0681
3,Time:,08:40:58,Log-Likelihood:,109.36
4,No. Observations:,39,AIC:,-214.7
5,Df Residuals:,37,BIC:,-211.4
6,Df Model:,1,,
7,Covariance Type:,nonrobust,,
