,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,-0.0049,0.009,-0.546,0.588,-0.023,0.013
1,np.sinh(daily_roberta_neg),0.0226,0.028,0.821,0.417,-0.033,0.079
2,np.sinh(daily_roberta_neg_lag_1),-0.0075,0.025,-0.302,0.765,-0.058,0.043
