,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,-0.0985,0.065,-1.514,0.191,-0.266,0.069
1,np.sqrt(roberta_pos),0.0769,0.078,0.986,0.369,-0.124,0.278
2,np.sqrt(roberta_pos_lag_1),0.1373,0.08,1.724,0.145,-0.067,0.342
