,Dep. Variable:,apple_daily_abnormal_return,R-squared:,0.030
0,Model:,OLS,Adj. R-squared:,0.004
1,Method:,Least Squares,F-statistic:,1.172
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.286
3,Time:,08:40:55,Log-Likelihood:,141.49
4,No. Observations:,40,AIC:,-279.0
5,Df Residuals:,38,BIC:,-275.6
6,Df Model:,1,,
7,Covariance Type:,nonrobust,,
