,Dep. Variable:,weekly_return,R-squared:,0.318
0,Model:,OLS,Adj. R-squared:,0.045
1,Method:,Least Squares,F-statistic:,1.166
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.384
3,Time:,08:40:56,Log-Likelihood:,23.966
4,No. Observations:,8,AIC:,-41.93
5,Df Residuals:,5,BIC:,-41.69
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
