,Dep. Variable:,average_volatility,R-squared:,0.217
0,Model:,OLS,Adj. R-squared:,-0.097
1,Method:,Least Squares,F-statistic:,0.6908
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.543
3,Time:,08:40:56,Log-Likelihood:,40.705
4,No. Observations:,8,AIC:,-75.41
5,Df Residuals:,5,BIC:,-75.17
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
