,Dep. Variable:,apple_daily_return,R-squared:,0.358
0,Model:,OLS,Adj. R-squared:,0.323
1,Method:,Least Squares,F-statistic:,10.29
2,Date:,"Wed, 02 Aug 2023",Prob (F-statistic):,0.000279
3,Time:,08:25:08,Log-Likelihood:,141.34
4,No. Observations:,40,AIC:,-276.7
5,Df Residuals:,37,BIC:,-271.6
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
