,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0217,0.046,0.473,0.653,-0.091,0.134
1,roberta_neg,-0.0487,0.153,-0.319,0.761,-0.422,0.325
2,sp500_weekly_returns_alternate,0.6748,0.47,1.437,0.201,-0.475,1.824
