,Dep. Variable:,average_volatility,R-squared:,0.384
0,Model:,OLS,Adj. R-squared:,0.138
1,Method:,Least Squares,F-statistic:,1.561
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.297
3,Time:,08:40:58,Log-Likelihood:,27.527
4,No. Observations:,8,AIC:,-49.05
5,Df Residuals:,5,BIC:,-48.82
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
