,Dep. Variable:,weekly_abnormal_return,R-squared:,0.128
0,Model:,OLS,Adj. R-squared:,-0.221
1,Method:,Least Squares,F-statistic:,0.366
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.711
3,Time:,08:40:59,Log-Likelihood:,19.976
4,No. Observations:,8,AIC:,-33.95
5,Df Residuals:,5,BIC:,-33.71
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
