,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0081,0.011,0.725,0.492,-0.018,0.035
1,np.sqrt(roberta_pos),-0.0031,0.018,-0.174,0.867,-0.046,0.04
