,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0269,0.048,0.56,0.593,-0.087,0.14
1,np.sinh(roberta_pos),-0.0676,0.167,-0.405,0.698,-0.462,0.327
