,Dep. Variable:,apple_daily_abnormal_return,R-squared:,0.021
0,Model:,OLS,Adj. R-squared:,-0.033
1,Method:,Least Squares,F-statistic:,0.386
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.683
3,Time:,08:40:56,Log-Likelihood:,137.28
4,No. Observations:,39,AIC:,-268.6
5,Df Residuals:,36,BIC:,-263.6
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
