,Dep. Variable:,weekly_abnormal_return,R-squared:,0.245
0,Model:,OLS,Adj. R-squared:,-0.057
1,Method:,Least Squares,F-statistic:,0.8109
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.495
3,Time:,08:40:56,Log-Likelihood:,20.588
4,No. Observations:,8,AIC:,-35.18
5,Df Residuals:,5,BIC:,-34.94
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
