,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.1228,0.202,0.609,0.569,-0.396,0.641
1,np.sqrt(roberta_pos),-0.3265,0.269,-1.214,0.279,-1.018,0.365
2,np.sqrt(roberta_pos_lag_1),0.1195,0.21,0.568,0.594,-0.421,0.66
