,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0015,0.004,0.364,0.718,-0.007,0.01
1,np.sinh(daily_roberta_sum),-0.0386,0.027,-1.407,0.169,-0.094,0.017
2,np.sinh(daily_roberta_sum_lag_1),0.0261,0.027,0.964,0.342,-0.029,0.081
3,np.sinh(sp500_daily_returns),0.7591,0.59,1.286,0.207,-0.441,1.959
