,Dep. Variable:,apple_daily_abnormal_return,R-squared:,0.046
0,Model:,OLS,Adj. R-squared:,-0.007
1,Method:,Least Squares,F-statistic:,0.8594
2,Date:,"Wed, 02 Aug 2023",Prob (F-statistic):,0.432
3,Time:,08:25:08,Log-Likelihood:,137.77
4,No. Observations:,39,AIC:,-269.5
5,Df Residuals:,36,BIC:,-264.6
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
