,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0314,0.028,1.122,0.325,-0.046,0.109
1,roberta_sum,0.2034,0.228,0.894,0.422,-0.429,0.836
2,roberta_sum_lag_1,-0.1428,0.153,-0.935,0.403,-0.567,0.281
3,sp500_weekly_returns_alternate,1.52,1.264,1.202,0.296,-1.99,5.03
