,Dep. Variable:,average_volatility,R-squared:,0.011
0,Model:,OLS,Adj. R-squared:,-0.131
1,Method:,Least Squares,F-statistic:,0.07598
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.791
3,Time:,08:40:59,Log-Likelihood:,28.817
4,No. Observations:,9,AIC:,-53.63
5,Df Residuals:,7,BIC:,-53.24
6,Df Model:,1,,
7,Covariance Type:,nonrobust,,
