,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0245,0.007,3.266,0.022,0.005,0.044
1,roberta_sum,0.1012,0.062,1.626,0.165,-0.059,0.261
2,roberta_sum_lag_1,-0.0698,0.04,-1.731,0.144,-0.173,0.034
