,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,-0.018,0.016,-1.101,0.278,-0.051,0.015
1,np.log(daily_roberta_pos),-0.0241,0.012,-1.945,0.06,-0.049,0.001
2,np.log(daily_roberta_pos_lag_1),0.0089,0.012,0.716,0.479,-0.016,0.034
